POS	127982050	127982070	127982089	127982619	127982673	127982968	127983096	127983124	127983149	127983287	127983476	127983686	127983693	127983941	127984019	127984065	127984089	127984159	127984282	127984283	127984297	127984435	127984550	127984985	127985011	127985014	127985063	127985065	127985209	127985291	127985445	127985490	127985548	127985560	127985695	127986228	127986359	127986370	127986378	127986415	127986466	127986483	127987116	127987156	127987247	127987578	127987909	127988059	127988114	127988203	127988350	127988625	127988683	127988686	127989245	127989350	127989575	127989760	127989849	127989850	127990024	127990833	127990853	127990929	127990957	127991703	127991749	127991955	127992577	127992614	127992639	127992658	127992674	127992871	127992931
ACB	0.598958	0.541667	0.328125	0.0572917	0.0572917	0.0572917	0.0572917	0.0572917	0.0572917	0.0572917	0.0572917	0.0572917	0.0572917	0.0572917	0.0572917	0.0572917	0.046875	0.0572917	0.0572917	0.0572917	0.0729167	0.0572917	0.0572917	0.0572917	0.0572917	0.0572917	0.0572917	0.0572917	0.0572917	0.0572917	0.0572917	0.0729167	0.0572917	0.0572917	0.0572917	0.0572917	0.0572917	0.0572917	0.0572917	0.0729167	0.328125	0.197917	0.0572917	0.0572917	0.0572917	0.677083	0.0572917	0.0572917	0.0572917	0.0572917	0.0572917	0.0572917	0.0572917	0.0572917	0.0572917	0.0677083	0.0572917	0.0572917	0.739583	0.0729167	0.0572917	0.328125	0.0572917	0.0572917	0.0572917	0.0572917	0.0572917	0.0572917	0.0572917	0.0572917	0.0677083	0.0572917	0.0572917	0.015625	0.0208333
ASW	0.57377	0.467213	0.270492	0.0655738	0.0655738	0.0655738	0.0655738	0.0655738	0.0655738	0.0655738	0.0655738	0.0655738	0.0655738	0.0655738	0.0655738	0.0655738	0.114754	0.0655738	0.0655738	0.0655738	0.0737705	0.0655738	0.0655738	0.0655738	0.0655738	0.0655738	0.0655738	0.0655738	0.0655738	0.0655738	0.0655738	0.0737705	0.0655738	0.0655738	0.0655738	0.0655738	0.0655738	0.0655738	0.0655738	0.0737705	0.278689	0.204918	0.0655738	0.0655738	0.0655738	0.565574	0.0655738	0.0655738	0.0655738	0.0655738	0.0655738	0.0655738	0.0655738	0.0655738	0.0655738	0.0655738	0.0655738	0.0655738	0.680328	0.0737705	0.0655738	0.262295	0.0655738	0.0655738	0.0655738	0.0655738	0.0655738	0.0655738	0.0655738	0.0655738	0.122951	0.0655738	0.114754	0.00819672	0.0163934
BEB	0.505814	0.401163	0.401163	0.273256	0.273256	0.273256	0.273256	0.273256	0.273256	0.261628	0.261628	0.261628	0.261628	0.261628	0.261628	0.261628	0.127907	0.261628	0.261628	0.261628	0.0232558	0.261628	0.261628	0.261628	0.267442	0.267442	0.267442	0.267442	0.261628	0.255814	0.261628	0.0232558	0.261628	0.261628	0.261628	0.261628	0.261628	0.261628	0.261628	0.0232558	0.395349	0.284884	0.261628	0.261628	0.261628	0.453488	0.261628	0.261628	0.261628	0.261628	0.261628	0.261628	0.261628	0.261628	0.261628	0.0232558	0.261628	0.261628	0.488372	0.0232558	0.261628	0.395349	0.261628	0.267442	0.261628	0.261628	0.261628	0.261628	0.261628	0.261628	0.226744	0.261628	0.0348837	0.122093	0.116279
CDX	0.150538	0.0430108	0.0376344	0.392473	0.392473	0.392473	0.392473	0.408602	0.392473	0.392473	0.392473	0.392473	0.392473	0.392473	0.392473	0.392473	0.0860215	0.392473	0.392473	0.392473	0.0215054	0.392473	0.392473	0.392473	0.392473	0.392473	0.392473	0.392473	0.392473	0.392473	0.392473	0.0215054	0.392473	0.392473	0.392473	0.392473	0.403226	0.403226	0.403226	0.0215054	0.0698925	0.413978	0.392473	0.392473	0.392473	0.0430108	0.392473	0.392473	0.392473	0.392473	0.392473	0.392473	0.392473	0.392473	0.392473	0.0215054	0.392473	0.392473	0.408602	0.0215054	0.392473	0.0430108	0.392473	0.392473	0.392473	0.392473	0.392473	0.392473	0.387097	0.387097	0.155914	0.387097	0.376344	0.241935	0.231183
CEU	0.368687	0.30303	0.30303	0.247475	0.247475	0.247475	0.247475	0.247475	0.247475	0.247475	0.247475	0.247475	0.247475	0.247475	0.247475	0.247475	0.237374	0.247475	0.247475	0.247475	0.0808081	0.247475	0.247475	0.247475	0.247475	0.247475	0.247475	0.247475	0.247475	0.247475	0.247475	0.0808081	0.247475	0.247475	0.247475	0.247475	0.247475	0.247475	0.247475	0.0808081	0.358586	0.328283	0.247475	0.247475	0.247475	0.358586	0.247475	0.247475	0.247475	0.247475	0.247475	0.247475	0.247475	0.247475	0.247475	0.0808081	0.247475	0.247475	0.368687	0.0808081	0.247475	0.29798	0.247475	0.247475	0.247475	0.247475	0.247475	0.247475	0.247475	0.247475	0.308081	0.247475	0.0656566	0.141414	0.116162
CHB	0.131068	0.0582524	0.0582524	0.393204	0.393204	0.393204	0.393204	0.398058	0.393204	0.393204	0.393204	0.393204	0.393204	0.393204	0.393204	0.393204	0.106796	0.393204	0.393204	0.393204	0.0291262	0.393204	0.393204	0.393204	0.393204	0.393204	0.393204	0.393204	0.393204	0.393204	0.393204	0.0291262	0.38835	0.38835	0.38835	0.393204	0.393204	0.393204	0.393204	0.0291262	0.0631068	0.42233	0.393204	0.393204	0.393204	0.0582524	0.402913	0.402913	0.402913	0.402913	0.402913	0.402913	0.402913	0.402913	0.402913	0.0291262	0.402913	0.402913	0.393204	0.0291262	0.402913	0.0582524	0.393204	0.402913	0.402913	0.402913	0.402913	0.402913	0.402913	0.402913	0.160194	0.402913	0.34466	0.18932	0.174757
CHS	0.180952	0.0714286	0.0666667	0.390476	0.390476	0.390476	0.390476	0.395238	0.390476	0.390476	0.390476	0.390476	0.390476	0.390476	0.390476	0.390476	0.0761905	0.390476	0.390476	0.390476	0.0333333	0.390476	0.390476	0.390476	0.390476	0.390476	0.390476	0.390476	0.390476	0.390476	0.390476	0.0333333	0.390476	0.390476	0.390476	0.390476	0.395238	0.395238	0.395238	0.0333333	0.0666667	0.42381	0.390476	0.390476	0.390476	0.0571429	0.390476	0.390476	0.390476	0.390476	0.390476	0.390476	0.390476	0.390476	0.390476	0.0333333	0.390476	0.390476	0.414286	0.0333333	0.390476	0.0571429	0.390476	0.390476	0.390476	0.390476	0.390476	0.390476	0.390476	0.390476	0.12381	0.390476	0.385714	0.2	0.185714
CLM	0.335106	0.260638	0.234043	0.356383	0.356383	0.356383	0.356383	0.356383	0.356383	0.356383	0.356383	0.356383	0.356383	0.356383	0.356383	0.356383	0.164894	0.356383	0.356383	0.356383	0.111702	0.356383	0.356383	0.356383	0.356383	0.356383	0.356383	0.356383	0.356383	0.356383	0.356383	0.111702	0.356383	0.356383	0.356383	0.356383	0.356383	0.356383	0.356383	0.111702	0.239362	0.468085	0.356383	0.356383	0.356383	0.265957	0.356383	0.356383	0.356383	0.356383	0.356383	0.356383	0.356383	0.356383	0.356383	0.111702	0.356383	0.356383	0.351064	0.111702	0.356383	0.228723	0.356383	0.356383	0.356383	0.356383	0.356383	0.356383	0.356383	0.356383	0.175532	0.356383	0.101064	0.117021	0.111702
ESN	0.631313	0.59596	0.262626	0.00505051	0.00505051	0.00505051	0.00505051	0.00505051	0.00505051	0.00505051	0.00505051	0.00505051	0.00505051	0.00505051	0.00505051	0.00505051	0.0555556	0.00505051	0.00505051	0.00505051	0.0505051	0.00505051	0.00505051	0.00505051	0.00505051	0.00505051	0.00505051	0.00505051	0.00505051	0.00505051	0.00505051	0.0505051	0.00505051	0.00505051	0.00505051	0.00505051	0.00505051	0.00505051	0.00505051	0.0505051	0.262626	0.131313	0.00505051	0.00505051	0.00505051	0.681818	0.00505051	0.00505051	0.00505051	0.00505051	0.00505051	0.00505051	0.00505051	0.00505051	0.00505051	0.0505051	0.00505051	0.00505051	0.79798	0.0505051	0.00505051	0.262626	0.00505051	0.00505051	0.00505051	0.00505051	0.00505051	0.00505051	0.00505051	0.00505051	0.0555556	0.00505051	0.126263	0	0
FIN	0.368687	0.308081	0.308081	0.313131	0.313131	0.313131	0.313131	0.313131	0.313131	0.313131	0.313131	0.313131	0.313131	0.313131	0.313131	0.313131	0.171717	0.313131	0.313131	0.313131	0.0858586	0.313131	0.313131	0.313131	0.313131	0.313131	0.313131	0.313131	0.313131	0.313131	0.313131	0.0858586	0.313131	0.313131	0.313131	0.313131	0.313131	0.313131	0.313131	0.0858586	0.348485	0.39899	0.313131	0.313131	0.313131	0.343434	0.313131	0.313131	0.313131	0.313131	0.313131	0.313131	0.313131	0.313131	0.313131	0.0858586	0.313131	0.313131	0.378788	0.0858586	0.313131	0.30303	0.313131	0.313131	0.313131	0.313131	0.313131	0.313131	0.313131	0.313131	0.237374	0.313131	0.0555556	0.176768	0.171717
GBR	0.489011	0.395604	0.395604	0.241758	0.241758	0.241758	0.241758	0.241758	0.241758	0.241758	0.241758	0.241758	0.241758	0.241758	0.241758	0.241758	0.21978	0.241758	0.241758	0.241758	0.021978	0.241758	0.241758	0.241758	0.241758	0.241758	0.241758	0.241758	0.241758	0.241758	0.241758	0.021978	0.247253	0.247253	0.241758	0.241758	0.241758	0.241758	0.241758	0.021978	0.423077	0.263736	0.241758	0.241758	0.241758	0.423077	0.241758	0.241758	0.241758	0.241758	0.241758	0.241758	0.241758	0.241758	0.241758	0.021978	0.241758	0.241758	0.467033	0.021978	0.241758	0.384615	0.241758	0.241758	0.241758	0.241758	0.241758	0.241758	0.241758	0.241758	0.269231	0.241758	0.0824176	0.120879	0.104396
GIH	0.402913	0.325243	0.325243	0.339806	0.339806	0.339806	0.339806	0.339806	0.339806	0.339806	0.339806	0.339806	0.339806	0.339806	0.339806	0.339806	0.15534	0.339806	0.339806	0.339806	0.0242718	0.339806	0.339806	0.339806	0.339806	0.339806	0.339806	0.339806	0.339806	0.339806	0.339806	0.0242718	0.354369	0.354369	0.339806	0.339806	0.339806	0.339806	0.339806	0.0242718	0.330097	0.364078	0.339806	0.339806	0.339806	0.373786	0.339806	0.339806	0.339806	0.339806	0.339806	0.339806	0.339806	0.339806	0.339806	0.0242718	0.339806	0.339806	0.38835	0.0242718	0.339806	0.325243	0.339806	0.339806	0.339806	0.339806	0.339806	0.339806	0.339806	0.339806	0.257282	0.339806	0.0194175	0.160194	0.160194
